Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW13,19,F. Amblemididae ,Bivalve,1.3,1,29.41,N,N,CC,100-0328/0329,24-Jul-12
A,SW13,19,F. Amblemididae ,Bivalve,2.5,1,38.71,N,N,CC,100-0311/0310,24-Jul-12
A,SW13,19,F. Cyclophoridae Rhiostoma sp.,Gastropod,2,1,26.67,N,N,CC,100-0314/0315,24-Jul-12
A,SW13,19,F. Cyclophoridae Rhiostoma sp.,Gastropod,1.6,1,28.22,N,N,CC,100-0312/0313,24-Jul-12
A,SW13,19,F. Cyclophoridae Rhiostoma sp.,Gastropod,1.3,1,25.7,N,N,CC,100-0325/0324/0323,24-Jul-12
A,SW13,19,F. Cyclophoridae Plectopylis degerbolae,Gastropod,1,1,20.64,N,N,CC,100-0316/0318,24-Jul-12
A,SW13,19,F. Cyclophoridae Plectopylis degerbolae,Gastropod,1.1,1,20.79,N,N,CC,100-0320/0319,24-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW14,19,F. Amblemididae ,Bivalve,22.9,12,NA,N,N,CC,,22-Jul-12
A,SW14,19,F. Cyclophoridae,Gastropod,2.1,2,NA,N,N,CC,,22-Jul-12
A,SW14,19,Gastropoda Operculum,Gastropod,1,2,NA,N,N,CC,,22-Jul-12
A,SW14,19,Unknown,Gastropod,37.5,86,NA,N,N,CC,,22-Jul-12
A,SW14,19,Unknown,Bivalve,33.6,85,NA,N,N,CC,,22-Jul-12
A,SW14,19,F. Potamididae,Gastropod,324.1,356,NA,N,N,CC,,22-Jul-12
A,SW14,19,F. Amblemididae ,Bivalve,5.3,1,53.25,N,N,CC,100-0271/0273,22-Jul-12
A,SW14,19,F. Cyclophoridae Rhiostoma housei,Gastropod,1.7,1,26.38,N,N,CC,100-0274/0275,22-Jul-12
A,SW14,19,F. Cyclophoridae Plectopylis degerbolae,Gastropod,0.7,1,18.31,N,N,CC,100-0276/0277,22-Jul-12
A,SW14,19,F. Potamididae,Gastropod,0.4,1,19.84,N,N,CC,100-0278/0279,22-Jul-12
A,SW14,19,F. Cyclophoridae Rhiostoma housei,Gastropod,2,1,26.8,N,N,CC,100-0280/0281,22-Jul-12
A,SW14,19,BiB,Bivalve,16.4,15,NA,N,N,CC,,22-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW15,19,GB,Gastropod,1.1,1,NA,N,N,HVV,,25-Jul-12
A,SW15,19,Unknown,Bivalve,37,65,NA,N,N,HVV,,25-Jul-12
A,SW15,19,F. Amblemididae ,Bivalve,9.1,1,40.89,N,N,HVV,100-0297/0296/0295/0294,25-Jul-12
A,SW15,19,F. Cyclophoridae Cyclophorus malayanus,Gastropod,0.2,1,NA,N,N,HVV,,25-Jul-12
A,SW15,19,F. Cyclophoridae Plectopylis degerbolae,Gastropod,1.4,2,NA,N,N,HVV,,25-Jul-12
A,SW15,19,F. Amblemididae ,Bivalve,13.1,4,NA,N,N,HVV,,25-Jul-12
